Record Type,Make,Body Type,Registration Class
BOAT,SE/SW,BOAT,470
VEH,CA/ON,LTRL,470
TRL,MISSI,TRLR,469
VEH,ICBUS,BUS,466
VEH,HINO,UTIL,465
TRL,STERL,LTRL,465
TRL,BEAR,LTRL,465
VEH,GLBEN,RD/S,463
VEH,GEORG,H/WH,462
BOAT,HY/SP,BOAT,462
BOAT,BENET,BOAT,461
TRL,CO/CA,TRLR,457
TRL,SHORE,BOAT,454
TRL,TR/KI,SEMI,454
TRL,TA/IN,LTRL,454
VEH,CATER,RBM,453
TRL,TRANS,SEMI,453
BOAT,SEANY,BOAT,453
TRL,HORNE,H/TR,452
VEH,WILLY,2DSD,450
TRL,CURRA,TRLR,449
TRL,CAMSU,TRLR,448
TRL,BE/BU,TRLR,446
BOAT,IMPER,BOAT,446
BOAT,EBBTI,BOAT,446
BOAT,AQ/PA,BOAT,445
VEH,HINO,TOW,444
VEH,REDHA,H/WH,443
TRL,IN/SP,LTRL,443
TRL,STOUG,SEMI,440
TRL,JB/EN,LTRL,439
TRL,BI/TX,TRLR,438
TRL,EA/CA,TRLR,438
VEH,FREIG,SUBN,438
VEH,NEWFL,BUS,437
TRL,ETNYR,SEMI,436
BOAT,REGUL,BOAT,436
TRL,DOWNE,TRLR,435
BOAT,SEA,BOAT,434
VEH,FREIG,TOW,433
BOAT,CARAV,BOAT,431
TRL,UNITE,LTRL,428
BOAT,SP/CR,BOAT,427
TRL,DILLY,LTRL,426
VEH,CF/MO,ATV,425
BOAT,LANDA,BOAT,422
VEH,RAM,FLAT,422
TRL,SURTC,TRLR,421
TRL,FO/RI,H/TR,420
TRL,KENDO,LTRL,420
TRL,SL/BE,LTRL,419
TRL,GU/ST,H/TR,419
TRL,ZINGE,H/TR,419
TRL,SUNDO,TRLR,419
TRL,TREMC,SEMI,418
BOAT,THUND,BOAT,415
VEH,FO/WI,H/WH,415
VEH,POLAR,MCY,415
TRL,TWF,TRLR,415
VEH,CHRYS,VAN,414
TRL,WINST,TRLR,413
TRL,LEGEN,TRLR,412
TRL,CONTI,LTRL,412
TRL,LARED,H/TR,412
BOAT,PO/KR,BOAT,411
TRL,WINNE,H/TR,408
TRL,KARA,LTRL,408
TRL,KODIA,H/TR,407
TRL,WILDE,H/TR,407
VEH,HAULM,TRLR,406
VEH,AS/MA,CONV,403
VEH,ACURA,SEDN,403
TRL,SLEDB,LTRL,401
TRL,ROGER,SEMI,398
TRL,STEAL,LTRL,397
TRL,COYOT,LTRL,397
TRL,SOUTH,TRLR,396
BOAT,CR/LI,BOAT,396
TRL,BRAVO,TRLR,395
VEH,MERCU,CONV,394
VEH,GEO,4DSD,394
VEH,CHEVY,2DSD,392
TRL,CONTI,TRLR,390
TRL,OTHER,H/TR,389
TRL,POLAR,SEMI,387
VEH,FLEET,H/WH,387
